id,time,energy,total_active_power,demand_total_active_power,maximum_demand_total_active_power,i1,i2,i3,u12,u23,u13,v1,v2,v3,device,total_power_factor,total_apparent_power
506758459,2024-02-12 16:09:58,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506758434,2024-02-12 16:09:56,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506758409,2024-02-12 16:09:54,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.899994,,,Elektricni bojler,,0.0
506758384,2024-02-12 16:09:51,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.899994,,,Elektricni bojler,,0.0
506758359,2024-02-12 16:09:49,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.899994,,,Elektricni bojler,,0.0
506758334,2024-02-12 16:09:47,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.899994,,,Elektricni bojler,,0.0
506758309,2024-02-12 16:09:45,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.899994,,,Elektricni bojler,,0.0
506758284,2024-02-12 16:09:43,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.800003,,,Elektricni bojler,,0.0
506758259,2024-02-12 16:09:41,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.800003,,,Elektricni bojler,,0.0
506758234,2024-02-12 16:09:39,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506758209,2024-02-12 16:09:37,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506758184,2024-02-12 16:09:35,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506758159,2024-02-12 16:09:33,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506758134,2024-02-12 16:09:31,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506758109,2024-02-12 16:09:29,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506758084,2024-02-12 16:09:27,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506758059,2024-02-12 16:09:25,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506758034,2024-02-12 16:09:23,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506758009,2024-02-12 16:09:21,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506757984,2024-02-12 16:09:19,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506757959,2024-02-12 16:09:17,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506757934,2024-02-12 16:09:15,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.800003,,,Elektricni bojler,,0.0
506757909,2024-02-12 16:09:13,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.800003,,,Elektricni bojler,,0.0
506757884,2024-02-12 16:09:11,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.800003,,,Elektricni bojler,,0.0
506757859,2024-02-12 16:09:08,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506757834,2024-02-12 16:09:06,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506757809,2024-02-12 16:09:04,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.399994,,,Elektricni bojler,,0.0
506757784,2024-02-12 16:09:02,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.399994,,,Elektricni bojler,,0.0
506757759,2024-02-12 16:09:00,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.5,,,Elektricni bojler,,0.0
506757734,2024-02-12 16:08:58,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.5,,,Elektricni bojler,,0.0
506757709,2024-02-12 16:08:56,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.5,,,Elektricni bojler,,0.0
506757684,2024-02-12 16:08:54,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.5,,,Elektricni bojler,,0.0
506757659,2024-02-12 16:08:52,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.5,,,Elektricni bojler,,0.0
506757634,2024-02-12 16:08:50,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.5,,,Elektricni bojler,,0.0
506757609,2024-02-12 16:08:48,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.5,,,Elektricni bojler,,0.0
506757584,2024-02-12 16:08:46,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.5,,,Elektricni bojler,,0.0
506757559,2024-02-12 16:08:44,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.600006,,,Elektricni bojler,,0.0
506757534,2024-02-12 16:08:41,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.600006,,,Elektricni bojler,,0.0
506757509,2024-02-12 16:08:39,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.5,,,Elektricni bojler,,0.0
506757484,2024-02-12 16:08:37,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.5,,,Elektricni bojler,,0.0
506757459,2024-02-12 16:08:35,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.5,,,Elektricni bojler,,0.0
506757434,2024-02-12 16:08:33,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.399994,,,Elektricni bojler,,0.0
506757409,2024-02-12 16:08:31,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.399994,,,Elektricni bojler,,0.0
506757384,2024-02-12 16:08:29,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.300003,,,Elektricni bojler,,0.0
506757359,2024-02-12 16:08:27,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.300003,,,Elektricni bojler,,0.0
506757334,2024-02-12 16:08:25,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506757309,2024-02-12 16:08:23,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506757284,2024-02-12 16:08:21,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506757259,2024-02-12 16:08:19,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506757234,2024-02-12 16:08:17,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506757209,2024-02-12 16:08:15,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.300003,,,Elektricni bojler,,0.0
506757184,2024-02-12 16:08:13,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.300003,,,Elektricni bojler,,0.0
506757159,2024-02-12 16:08:11,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.300003,,,Elektricni bojler,,0.0
506757134,2024-02-12 16:08:09,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506757109,2024-02-12 16:08:07,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506757084,2024-02-12 16:08:05,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506757059,2024-02-12 16:08:03,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506757034,2024-02-12 16:08:01,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506757009,2024-02-12 16:07:59,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506756984,2024-02-12 16:07:57,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506756959,2024-02-12 16:07:54,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506756934,2024-02-12 16:07:52,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506756909,2024-02-12 16:07:50,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506756884,2024-02-12 16:07:48,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506756859,2024-02-12 16:07:46,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506756834,2024-02-12 16:07:44,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506756809,2024-02-12 16:07:42,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506756784,2024-02-12 16:07:40,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506756759,2024-02-12 16:07:38,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506756734,2024-02-12 16:07:36,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506756709,2024-02-12 16:07:34,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506756684,2024-02-12 16:07:32,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506756659,2024-02-12 16:07:30,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506756634,2024-02-12 16:07:27,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506756609,2024-02-12 16:07:25,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506756584,2024-02-12 16:07:23,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506756559,2024-02-12 16:07:21,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506756534,2024-02-12 16:07:19,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.5,,,Elektricni bojler,,0.0
506756509,2024-02-12 16:07:17,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.5,,,Elektricni bojler,,0.0
506756484,2024-02-12 16:07:15,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.399994,,,Elektricni bojler,,0.0
506756459,2024-02-12 16:07:13,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.399994,,,Elektricni bojler,,0.0
506756434,2024-02-12 16:07:11,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.399994,,,Elektricni bojler,,0.0
506756409,2024-02-12 16:07:09,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.300003,,,Elektricni bojler,,0.0
506756384,2024-02-12 16:07:07,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.300003,,,Elektricni bojler,,0.0
506756359,2024-02-12 16:07:05,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.300003,,,Elektricni bojler,,0.0
506756334,2024-02-12 16:07:03,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.300003,,,Elektricni bojler,,0.0
506756309,2024-02-12 16:07:01,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.300003,,,Elektricni bojler,,0.0
506756284,2024-02-12 16:06:59,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.399994,,,Elektricni bojler,,0.0
506756259,2024-02-12 16:06:57,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.399994,,,Elektricni bojler,,0.0
506756234,2024-02-12 16:06:55,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.399994,,,Elektricni bojler,,0.0
506756209,2024-02-12 16:06:53,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.399994,,,Elektricni bojler,,0.0
506756184,2024-02-12 16:06:51,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.399994,,,Elektricni bojler,,0.0
506756159,2024-02-12 16:06:49,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.100006,,,Elektricni bojler,,0.0
506756134,2024-02-12 16:06:47,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.100006,,,Elektricni bojler,,0.0
506756109,2024-02-12 16:06:45,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.100006,,,Elektricni bojler,,0.0
506756084,2024-02-12 16:06:42,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.100006,,,Elektricni bojler,,0.0
506756059,2024-02-12 16:06:40,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.100006,,,Elektricni bojler,,0.0
506756034,2024-02-12 16:06:38,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.100006,,,Elektricni bojler,,0.0
506756009,2024-02-12 16:06:36,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.100006,,,Elektricni bojler,,0.0
506755984,2024-02-12 16:06:34,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.5,,,Elektricni bojler,,0.0
506755959,2024-02-12 16:06:32,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.5,,,Elektricni bojler,,0.0
506755934,2024-02-12 16:06:30,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.800003,,,Elektricni bojler,,0.0
506755909,2024-02-12 16:06:28,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.800003,,,Elektricni bojler,,0.0
506755884,2024-02-12 16:06:26,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.800003,,,Elektricni bojler,,0.0
506755859,2024-02-12 16:06:24,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.600006,,,Elektricni bojler,,0.0
506755834,2024-02-12 16:06:22,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.600006,,,Elektricni bojler,,0.0
506755809,2024-02-12 16:06:20,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.699997,,,Elektricni bojler,,0.0
506755784,2024-02-12 16:06:18,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.699997,,,Elektricni bojler,,0.0
506755759,2024-02-12 16:06:16,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.699997,,,Elektricni bojler,,0.0
506755734,2024-02-12 16:06:13,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.800003,,,Elektricni bojler,,0.0
506755709,2024-02-12 16:06:11,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.800003,,,Elektricni bojler,,0.0
506755684,2024-02-12 16:06:09,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.800003,,,Elektricni bojler,,0.0
506755659,2024-02-12 16:06:07,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.800003,,,Elektricni bojler,,0.0
506755634,2024-02-12 16:06:05,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506755609,2024-02-12 16:06:03,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506755584,2024-02-12 16:06:01,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506755559,2024-02-12 16:05:59,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.899994,,,Elektricni bojler,,0.0
506755534,2024-02-12 16:05:57,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.899994,,,Elektricni bojler,,0.0
506755509,2024-02-12 16:05:55,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.899994,,,Elektricni bojler,,0.0
506755484,2024-02-12 16:05:53,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.899994,,,Elektricni bojler,,0.0
506755459,2024-02-12 16:05:51,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.899994,,,Elektricni bojler,,0.0
506755434,2024-02-12 16:05:49,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506755409,2024-02-12 16:05:47,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506755384,2024-02-12 16:05:45,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506755359,2024-02-12 16:05:43,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506755334,2024-02-12 16:05:41,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506755309,2024-02-12 16:05:39,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506755284,2024-02-12 16:05:37,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506755259,2024-02-12 16:05:35,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506755234,2024-02-12 16:05:33,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506755209,2024-02-12 16:05:31,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.199997,,,Elektricni bojler,,0.0
506755184,2024-02-12 16:05:28,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506755159,2024-02-12 16:05:26,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506755134,2024-02-12 16:05:24,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506755109,2024-02-12 16:05:22,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506755084,2024-02-12 16:05:20,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506755059,2024-02-12 16:05:18,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506755034,2024-02-12 16:05:16,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506755009,2024-02-12 16:05:14,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506754984,2024-02-12 16:05:12,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.100006,,,Elektricni bojler,,0.0
506754959,2024-02-12 16:05:10,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506754934,2024-02-12 16:05:08,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506754909,2024-02-12 16:05:06,1537.0,0.0,0.0,1505.283325,0.0,,,,,,231.0,,,Elektricni bojler,,0.0
506754884,2024-02-12 16:05:04,1537.0,0.0,0.0,1505.283325,0.0,,,,,,230.899994,,,Elektricni bojler,,0.0
